id_loc,nrohab,village,district,province,RiverName,HydroNameL6,HydroNameL7,HydroNameANA
1607060043,42,PUERTO FRANCO,ANDOAS,DATEM DEL MARA_ON,Rio Huasaga,Hydro11,Hydro69,Cuenca Pastaza
1607060077,48,YAMPIK,ANDOAS,DATEM DEL MARA_ON,Rio Huasaga,Hydro11,Hydro69,Cuenca Pastaza
1607060055,313,KUYUNTZA,ANDOAS,DATEM DEL MARA_ON,Rio Manchari,Hydro11,Hydro60,Cuenca Pastaza
1607060057,242,SAN JUAN DE MANCHARI,ANDOAS,DATEM DEL MARA_ON,Rio Manchari,Hydro11,Hydro60,Cuenca Pastaza
1607060050,332,SIWINT,ANDOAS,DATEM DEL MARA_ON,Qda Sihuin,Hydro11,Hydro68,Cuenca Pastaza
1607060069,129,CHAMBIRA,ANDOAS,DATEM DEL MARA_ON,Rio Huitoyacu,Hydro11,Hydro60,Cuenca Pastaza
1607060074,109,HORTENCIA COCHA,ANDOAS,DATEM DEL MARA_ON,Rio Huitoyacu,Hydro11,Hydro60,Cuenca Pastaza
1607060068,107,LIMON COCHA,ANDOAS,DATEM DEL MARA_ON,Rio Huitoyacu,Hydro11,Hydro60,Cuenca Pastaza
1607060013,55,WASUM,ANDOAS,DATEM DEL MARA_ON,Rio Huitoyacu,Hydro11,Hydro60,Cuenca Pastaza
1607060071,323,ANDOAS VIEJO,ANDOAS,DATEM DEL MARA_ON,Rio Pastaza,Hydro11,Hydro68,Cuenca Pastaza
1601030095,413,ESPERANZA,FERNANDO LORES,MAYNAS,Rio Tahuayo,Hydro2,Hydro25,Cuenca Tahuayo
1601030086,28,TAPIRA GRANDE,FERNANDO LORES,MAYNAS,Rio Tahuayo,Hydro2,Hydro21,Intercuenca 49799
1601030111,50,EL CHARO,FERNANDO LORES,MAYNAS,Rio Tahuayo,Hydro2,Hydro25,Cuenca Tahuayo
1601030089,100,CANAAN,FERNANDO LORES,MAYNAS,Rio Tahuayo,Hydro2,Hydro25,Cuenca Tahuayo
